# Book 4 performance pronunciations for the Fable narration.
Achaeans	uh-KEE-uhnz
Aegisthus	ee-JIS-thuhs
Agamemnon	ag-uh-MEM-non
Ajax	AY-jaks
Alector	uh-LEK-tor
Alcandre	al-KAN-dree
Alcippe	al-SIP-ee
Anticlus	AN-tih-kluhs
Antilochus	an-TIL-oh-kuhs
Antinous	an-TIN-oh-uhs
Aphrodite	af-roh-DYE-tee
Arceisius	ar-SEE-see-uhs
Argos	AR-goss
Artemis	AR-tuh-mis
Asphalion	as-FAL-ee-on
Asteris	AS-tuh-ris
Athena	uh-THEE-nuh
Atreus	AY-tree-uhs
Boethous	boh-EE-thoh-uhs
Calypso	kuh-LIP-soh
Cronos	KROH-nohs
Cyprus	SYE-pruhs
Danaans	DAN-ay-uhnz
Deiphobus	dee-IF-oh-buhs
Dolius	DOH-lee-uhs
Eidothea	eye-doh-THEE-uh
Elis	EE-lis
Erembians	eh-REM-bee-uhnz
Eteoneus	et-ee-OH-nee-uhs
Ethiopians	ee-thee-OH-pee-uhnz
Eumelus	yoo-MEE-luhs
Eurycleia	yoo-rih-KLEE-uh
Eurymachus	yoo-RIM-uh-kuhs
Helen	HEL-un
Helios	HEE-lee-ohs
Hephaestus	hih-FES-tuhs
Hera	HEER-uh
Hermione	hur-MYE-oh-nee
Icarius	ih-KAIR-ee-uhs
Iphthime	if-THYE-mee
Ithaca	ITH-uh-kuh
Lacedaemon	las-uh-DEE-mun
Laertes	lay-AIR-teez
Lesbos	LEZ-boss
Libya	LIB-ee-uh
Malea	muh-LEE-uh
Medon	MEE-don
Megapenthes	meg-uh-PEN-theez
Menelaus	men-uh-LAY-uhs
Mentor	MEN-tor
Myrmidons	MUR-mih-donz
Nestor	NES-tor
Noemon	noh-EE-mon
Odysseus	oh-DISS-ee-uhs
Orestes	oh-RES-teez
Paeeon	pee-EE-on
Peisistratus	pie-SIS-truh-tuhs
Penelope	puh-NEL-uh-pee
Phaedimus	FEE-dih-muhs
Pharos	FAIR-oss
Pherae	FEE-ree
Philomeleides	fil-oh-muh-LYE-deez
Phoenicia	fih-NISH-uh
Phronius	FROH-nee-uhs
Phylo	FYE-loh
Polydamna	pol-ih-DAM-nuh
Polybus	POL-ih-buhs
Poseidon	puh-SYE-dun
Proteus	PROH-tee-uhs
Pylos	PIE-loss
Rhadamanthus	rad-uh-MAN-thuhs
Samos	SAY-moss
Telemachus	tuh-LEM-uh-kuhs
Thon	THON
Thyestes	thye-ES-teez
Tydeus	TYE-dee-uhs
Zeus	ZOOS
